Paper number,Strain,Inoculum size (initial biomass),Time (d),Preculture conditions,Type of substrate,Substrate mg/L,N source,mg N/L,C/N (molar base),g substrate COD/L,Medium ,Medium supplementation,"Supp concentration, mg/L",Biomass (mg dw/L),% PHB,PHB (mg/L),PHB yield,"Composition of PHA, 3HB Mol%","Composition of PHA, 3HV Mol%",Illumination ,O2 conditions,Illumination (lux),T (°C),DOI
10,Rhodobacter sphaeroides RV,,1.08,,Acetate,2400,NH4+ free,0,,2.57,,,,2100,37,777,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.41,,Pyruvate,3520,NH4+ free,0,,3.52,,,,2200,15,330,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.5,,Succinate,4720,NH4+ free,0,,5.62,,,,2000,5,100,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.54,,Glucose,7210,NH4+ free,0,,7.71,,,,1600,4,64,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,2,,Lactate,3600,Glutamate (10 mM),1470,1.62,5.29,,,,3000,8,240,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,2,,Acetate,2400,Glutamate (10 mM),1470,1.24,4.01,,,,1700,25.0,425,,,,,,,,Khatipov et al. (1998)
10,Rhodobacter sphaeroides RV,,0.41,,Pyruvate,3520,Glutamate (10 mM),1470,1.62,4.96,,,,3100,10.0,310,,,,,,,,Khatipov et al. (1998)
11,Rhodopseudomonas palustris WP3−5,,1.75,,Acetate,480,NH4+ free,0,,0.51,,,,800,10.5,84,,,,,,,,Wu et al. (2012)
11,Rhodopseudomonas palustris WP3−5,,1.75,,Propionate,590,NH4+ free,0,,0.89,,,,700,4.2,29.40,,,,,,,,Wu et al. (2012)
11,Rhodopseudomonas palustris WP3−5,,1.75,,Lactate,1081,NH4+ free,0,,1.156,,,,700,3,21,,,,,,,,Wu et al. (2012)
,Rhodopseudomonas palustris WP3−5,,1.75,,Malate,1073,NH4+ free,0,,1.03,,,,800,0,0,,,,,,,,Wu et al. (2012)
12,Rhodobacter sphaeroides KD131,,2,,Succinate,3540,NH4SO4 (4 mM),520,30,4.21,,,,1610,7.6,122.36,,,,,,,,Kim et al. (2011)
12,Rhodobacter sphaeroides KD131,,2,,Acetate,3600,NH4SO4 (4 mM),520,30,3.85,,,,1810,54.0,977.4,,,,,,,,Kim et al. (2011)
12,Rhodobacter sphaeroides KD131,,2,,Succinate,3540,Glutamate (8 mM),1180,20,5.37,,,,2230,8.3,185.09,,,,,,,,Kim et al. (2011)
12,Rhodobacter sphaeroides KD131,,2,,Acetate,3600,Glutamate (8 mM),1180,20,5.01,,,,2240,51.0,1142.4,,,,,,,,Kim et al. (2011)
13,Rhodopseudomonas palustris (CGA009),,2.08,,Acetate,1200,NH4+ free,0,0,1.28,,,,,30.0,,,,,,anaerobic,,30,Mckinlay et al. (2014)
14,Adapted Rhodobacter sphaeroides AV1b,,0.83,,Diluted (1:2) DFE (RS-D),2182.2,NH4+,1.6,1600,,,,,1000,24,240,,,,,,,,Ghimire et al. (2016)
15,Rhodobacter capsulatus,,1.125,,Acetate,1010,NH4+,780,0.18,55.24,"modified Pfennig medium containing (in g L−1): yeast extract, 0.10; NH4Cl, 0.350; KH2PO4, 0.350; MgSO4, 0.514; KCl, 0.350; CaCl2·2H2O, 0.257; and 0.40 mL B12 vitamin solution (10 mg in 100 mL H2O), trace element solution, 18 mL; NaHCO3, 1.51 g; and acetic acid, 20 mM and butyric acid, 15 mM.","Acetate, L−1 butyrate, L−1 propionate,","(1010,1760,11610)",,29,,,,,,,,,Montiel-Corona et al. (2015)
16,Rhodobacter sphaeroides,,0.83,,Acetate,1750,Kjeldhal nitrogen and NH4Cl,211,8.3,4.672,,"butyrate, acetate, propionate, lactate","(598, 288, 200, 180)",1060,0.8,8.48,,,,,,,,Luongo et al. (2017)
