Experiment,Biomass (mg dw/L),PHB (mg/L),% PHB,PHV (mg/L),% PHV,5-ALA (micromol/L),Q10 (mg/g dw),Carotenoids (mg/g dw),Experiment,Time (d),g substrate COD/L,Type of substrate,mg N/L,C/N (molar base),mg ethanol/L,Fraction mineral medium,g NaHCO3/L,Illumination,Levulinic acid,Fe (mg Ferric citrate/L),Operation mode,% Volume exchange
183,1567,363.24,23.19,20.39,1.3,,8.47,4.41,10.01,7,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
184,1500,206.76,13.78,23.11,1.54,54.84,7.43,3.85,10.65,8,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
185,1450,184.09,12.7,17.05,1.18,,,3.86,9.46,8,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
186,1417,147.6,10.42,20.34,1.44,50.4,6.83,3.65,8.01,8,4.97,MCCA,154.7,14,0.79,0.5,1.5,continuous,Yes,10,SBR,90
187,1533,181.96,11.87,13.38,0.87,52.78,8.75,4.56,9.99,8,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
188,1300,382.28,29.41,20.77,1.6,,7.15,4.46,17.47,9,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
189,1183,208.68,17.63,8.55,0.72,24.68,5.93,3.87,15.34,8,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
190,1400,335.74,23.98,16.43,1.17,16.03,7.77,4.43,10.13,9,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
191,1367,365.14,26.72,9.17,0.67,14.21,6.86,4.14,9.51,12,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
192,1633,422.32,25.86,16.6,1.02,37.62,7.2,2.61,4.11,12,4.97,MCCA,154.7,14,0.79,0.1,1.5,continuous,Yes,10,SBR,90
193,1383,364.22,26.33,35.12,2.54,31.03,4.84,5.06,10.79,4,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
194,1433,329.72,23,16.87,1.18,,5.58,5.01,10.54,7,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
195,1167,198.9,17.05,20.66,1.77,96.43,6.5,4.02,10.36,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
196,1483,176.39,11.89,15.46,1.04,35.71,,4.23,9.23,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
197,1450,171.98,11.86,19.24,1.33,,4.47,3.19,6.88,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
198,1617,142.45,8.81,11,0.68,51.43,4.84,3.57,6.35,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
199,1467,107.91,7.36,27.58,1.88,16.43,5.49,3.98,6.26,9,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
200,1550,153.74,9.92,30.74,1.98,63.81,3.42,1.96,6.6,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
201,1517,,,24.28,1.6,56.19,4.31,3.04,6.87,9,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
202,1600,,,15.42,0.96,15.79,4.25,2.95,5.79,12,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
203,1383,338.2,24.45,32.13,2.32,31.35,4.75,5.2,11.89,4,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
204,1417,329.36,23.25,17.17,1.21,,6.3,5.13,11.07,7,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
205,1250,205.76,16.46,17.56,1.41,96.03,5.48,4.05,11.25,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
206,1433,167.51,11.69,14.56,1.02,34.05,,3.92,10.56,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
207,1400,192.89,13.78,2.14,0.15,,4.87,3.87,8.95,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
208,1483,147.64,9.95,11.82,0.8,49.52,5.36,3.68,6.88,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
209,1600,108.86,6.8,28.33,1.77,16.67,5.43,4.01,6.99,9,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
210,1400,112.13,8.01,25.88,1.85,66.27,4.25,2.14,7.5,8,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
211,1517,,,24.3,1.6,53.81,4.44,3.55,7.48,9,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
212,1383,,,12.45,0.9,,4.9,3.36,6.58,12,4.97,MCCA,154.7,14,0.79,0.25,1.5,continuous,Yes,10,SBR,90
