Experiment,Biomass (mg dw/L),PHB (mg/L),% PHB,PHV (mg/L),% PHV,5-ALA (micromol/L),Q10 (mg/g dw),Carotenoids (mg/g dw),Experiment,Time (d),g substrate COD/L,Type of substrate,mg N/L,C/N (molar base),mg ethanol/L,Fraction mineral medium,g NaHCO3/L,Illumination,Levulinic acid,Fe (mg Ferric citrate/L),Operation mode,% Volume exchange
49,1650,187.23,11.35,11.93,0.72,,,,,4,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
50,1617,183.45,11.35,11.69,0.72,,,,,4,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
51,1483,245.02,16.52,10.66,0.72,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
52,1500,247.83,16.52,10.79,0.72,,,,,4,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
53,1383,235.63,17.03,10.67,0.7,,,,,5,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
54,1367,251.11,18.37,11.98,0.79,,,,,5,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
55,1833,152.46,8.32,13.61,0.74,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
56,1750,145.53,8.32,12.99,0.74,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
57,1750,113.21,6.47,10.54,0.6,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
58,1817,117.52,6.47,10.94,0.6,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
59,1867,101.48,5.44,14.95,0.8,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
60,1700,92.42,5.44,13.61,0.8,,,,,5,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
61,1450,124.82,8.61,1.54,0.11,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
62,1317,113.34,8.61,1.4,0.11,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
63,1533,96.64,6.3,1.25,0.08,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
64,1350,85.08,6.3,1.1,0.08,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
65,1667,140.25,8.42,2.74,0.16,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
66,1650,138.85,8.42,2.72,0.16,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
67,1767,50.3,2.85,1.45,0.08,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
68,1750,49.83,2.85,1.44,0.08,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
69,1800,57.81,3.21,8.34,0.46,,,,,7,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
70,1717,55.13,3.21,7.95,0.46,,,,,7,4.97,MCCA,154.7,14,0.79,1,0,continuous,No,5,Batch,100
71,1283,109.26,8.51,12.74,1.03,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
72,1367,116.36,8.51,12.22,1.03,,,,,7,4.97,MCCA,154.7,14,0.79,1,1.5,continuous,No,5,Batch,100
73,2233,189.12,8.16,3.42,0.15,3.02,,,,6,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
74,2167,189.12,8.16,3.66,0.15,2.78,,,,6,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
75,2017,180.31,7.67,3.56,0.16,2.78,,,,6,4.97,MCCA,154.7,14,0.8,1,0,continuous,No,5,Batch,100
76,2133,177.75,7.67,3.72,0.16,2.86,,,,6,4.97,MCCA,154.7,14,0.8,1,0,continuous,No,5,Batch,100
77,1233,221.21,17.94,17.18,1.45,7.86,,,,5,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
78,1183,212.24,17.94,17.91,1.45,7.46,,,,5,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
79,2050,363.97,15.94,13.46,0.58,3.02,,,,6,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
80,2067,356,15.94,13.17,0.58,3.02,,,,6,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
81,1900,305.42,14.54,11.25,0.52,3.41,,,,6,4.97,MCCA,154.7,14,0.8,1,0,continuous,No,5,Batch,100
82,2000,312.69,14.54,10.81,0.52,3.1,,,,6,4.97,MCCA,154.7,14,0.8,1,0,continuous,No,5,Batch,100
83,1250,439.13,35.13,8.15,0.58,4.84,,,,5,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
84,1250,443.38,35.47,8.06,0.58,4.68,,,,5,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
85,900,82.8,9.03,2.03,0.22,8.1,,,,5,4.97,MCCA,154.7,14,0.8,0,1.5,continuous,No,5,Batch,100
86,950,87.31,9.03,2.14,0.22,7.3,,,,5,4.97,MCCA,154.7,14,0.8,0,1.5,continuous,No,5,Batch,100
87,1917,233.29,12.17,4.97,0.27,4.21,,,,7,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
88,2117,258.14,12.2,4.77,0.27,4.6,,,,7,4.97,MCCA,154.7,14,0.8,1,1.5,continuous,No,5,Batch,100
89,1333,504.92,37.87,9.63,0.78,6.03,,,,7,4.97,MCCA,154.7,14,0.8,0,1.5,continuous,No,5,Batch,100
90,1283,485.98,37.87,10.41,0.78,5.95,,,,7,4.97,MCCA,154.7,14,0.8,0,1.5,continuous,No,5,Batch,100
